pybullet build time: Mar 15 2019 21:18:42
startThreads creating 1 threads.
starting thread 0
started thread 0 
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA Tegra Xavier (nvgpu)/integrated
GL_VERSION=3.3.0 NVIDIA 31.1.0
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 31.1.0
Vendor = NVIDIA Corporation
Renderer = NVIDIA Tegra Xavier (nvgpu)/integrated
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0 
MotionThreadFunc thread started
ven = NVIDIA Corporation
('OBC_IP=', '169.254.98.2')
('OBC_PORT=', 15000)
('RX bind to port succeeded.', ('169.254.98.2', 15000))
TX bind to eth0 succeeded.
Starting ethernet RX and TX.
10,1980669,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
11,1980671,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
12,1980673,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
13,1980675,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
14,1980677,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
15,1980679,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
16,1980681,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
17,1980685,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
18,1980686,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
19,1980688,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
20,1980691,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
21,1980693,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
22,1980695,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
23,1980698,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
24,1980699,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
25,1980701,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
26,1980703,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
27,1980705,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
28,1980707,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
29,1980710,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
30,1980712,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
31,1980714,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
32,1980716,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
33,1980717,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
34,1980719,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
35,1980722,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
36,1980723,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
37,1980725,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858064651489,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
38,1980727,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
39,1980729,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
40,1980732,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
41,1980733,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
42,1980735,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
43,1980737,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920896291733,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
44,1980740,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
45,1980741,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
46,1980743,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
47,1980745,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.85794210434,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
48,1980746,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
49,1980748,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
50,1980750,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
51,1980752,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
52,1980753,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
53,1980756,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
54,1980758,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
55,1980759,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
56,1980761,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
57,1980763,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920896291733,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
58,1980764,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
59,1980766,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
60,1980768,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
61,1980770,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
62,1980771,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
63,1980773,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
